address,score,amount,category
io1kf8j5enyuakq0c9ywqwxagg3u9tt67wdu32z4v,170,1441370149506825216,earlybird
io1vwzh05ce3eysaayaljwfzft385cpa6ecmz2j4j,50,423932396913772096,earlybird
io12ttjhzan56hysm8fl94yjt2zugxn5dk9vyqrw6,50,423932396913772096,earlybird
io15m49n5wcg864xhsgtal4yks8dp4ak9qnv5yt2n,100,847864793827544192,earlybird
io1pq80nfeaw02n52ef6g22lg8sn7nvqyt7cqrgvy,50,423932396913772096,earlybird
io1twjx8havdrtef6apj9pqcqulsqyy5l2tt3umvy,50,423932396913772096,earlybird
io1h5gn4pxz0wg4erycets23ln8z4lqpg52gyvdqh,50,423932396913772096,earlybird
io1m6qagzg2rxrt8pd9m5m0qtrnl0hswc2m85lvzp,50,423932396913772096,earlybird
io1pq0jg7p0ta9rz5arwnu7atrdu3e0yux2l6eg4c,50,423932396913772096,earlybird
io14mxzv9p4ymhdl33wv4alx8knwtjqyczheulr8e,50,423932396913772096,earlybird
io1nmylyfhmw8hdqpl6ha4e6axdflesynz5m0unzm,50,423932396913772096,earlybird
io1gp5s50grhgjnvxru2qje57lm5radtuk803m40q,50,423932396913772096,earlybird
io1tq0deun2kn5rfzhu5qsp247ysfhn587j7jse6g,50,423932396913772096,earlybird
io1nd4927ut6956h95e4q0mmakml8vy6lgqhjk5xq,50,423932396913772096,earlybird
io1k8n08hyerlkuqls9degyx22k4jyvx7n60359vv,50,423932396913772096,earlybird
io15048q909k9jet0eh28cr70r5y5qzllxm4yl9gw,50,423932396913772096,earlybird
io1vxgz49yqujqxhda7pqyh0e2j8rdqxlq64s2ysd,50,423932396913772096,earlybird
io1vmv4gp8y8jhthxac0ahlye04dcja56ts8emxns,50,423932396913772096,earlybird
io1ly2k37qc9tzhg2aks5tal9u2nqurumhr460u4y,100,847864793827544192,earlybird
io19s9y7pxyl9zgzcc723mt8ha30xh7n25l4lrkgg,50,423932396913772096,earlybird
io1asjshx20ccn7pxt0zsp0mz3dydwuunlqkty0vn,50,423932396913772096,earlybird
io179mmarepga9e3lrpzx9tx80vlzmlvu07sc37qc,100,847864793827544192,earlybird
io1tdvhuy7atyel4njt6mfwdxj88rslxk967hsftx,50,423932396913772096,earlybird
io1c8juddncc5snwjeuekc9vldclfwu8d2388etll,50,423932396913772096,earlybird
